m 0 8960 b87373 Copper
m 1 2700 bcbcbc Aluminium
m 2 3000 43464B Steel
v 0 0 0 2
v 1 2 0 2 
v 2 0 2 2
v 3 2 2 2
v 4 0 0 0
v 5 2 0 0
v 6 0 2 0
v 7 2 2 0
# cell 0 is a hexahedral 
c 0 h 0 0 1 2 3 4 5 6 7 
v 8 0 0 20
v 9 1 0 0  
v 10 0.5 0 1 
v 11 0.5 1 0
v 12 1 1 1
v 13 0 0 2
v 14 0 3 0
v 15 4 0 0 
v 16 0 0 0 
v 17 6 0 0 
v 18 0 3 0 
v 19 0 0 2
v 20 0 0 0 
v 21 2 0 0 
v 22 0 0 2
v 23 0 2 0
#c 0 t 1 8 9 10 11
#c 0 t 1 4 6 10 11
#c 1 p 1 8 9 10 11 5
#c 2 h 1 1 2 3 4 5 6 7 8
#c 3 t 1 8 10 9 11
#c 4 p 1 8 9 10 5 6
#c 3 t 1 12 13 14 15
#c 4 t 1 16 17 18 19
#c 5 t 1 20 23 22 21
